Quadrante M0 M1 M2 M3 M4 M5 Altura Painel Lado
1 0 81,60 199,20 279,10 385,60 359,30 1,75 1 1
2 0 106,50 171,40 194,50 274,00 524,80 1,25 1 1
3 0 79,80 189,40 179,50 295,20 439,50 0,75 1 1
1 0 207,20 543,30 755,20 525,50  1,75 2 1
2 0 99,30 147,30 304,70 453,30 451,10 1,25 2 1
3 0 115,30 159,70 288,00 289,50 379,20 0,75 2 1
1 0 93,20 179,50 478,70 316,90 687,80 1,75 1 0
2 0 42,10 282,80 314,50 476,90 787,70 1,75 1 0
3 0 93,40 145,90 166,70 281,30 290,80 1,75 1 0
4 0 93,70 124,90 209,40 256,70 312,20 1,75 1 0
5 0 116,70 202,70 150,40 162,10  1,75 1 0
6 0 271,10 242,70 240,20 178,70 255,80 1,75 1 0
7 0 84,50 115,80 572,10 300,80 278,70 1,75 1 0
8 0 74,20 128,60 183,90 216,00 322,30 1,75 1 0
9 0 18,80 286,00 362,40 649,90 632,00 1,25 1 0
10 0 61,50 210,10 190,80 343,70 467,10 1,25 1 0
11 0 67,00 106,40 160,70 268,60 373,30 1,25 1 0
12 0 173,90 269,80 426,50 471,20 586,40 1,25 1 0
13 0 105,20 251,00 277,80 332,20 609,30 1,25 1 0
14 0 106,40 217,00 264,70 516,00 400,80 1,25 1 0
15 0 79,40 196,70 200,60 479,10 520,80 1,25 1 0
16 0 137,60 175,60 277,20 435,70 580,60 1,25 1 0
17 0 111,30 197,90 213,30 411,20 346,20 0,75 1 0
18 0 58,70 88,90 294,70 595,40 566,70 0,75 1 0
19 0 173,80 285,60 413,50 484,00 552,30 0,75 1 0
20 0 299,60 499,40 630,70 617,80 585,60 0,75 1 0
21 0 199,60 252,90 403,20 784,70  0,75 1 0
22 0 143,90 263,70 350,30 563,00 254,40 0,75 1 0
23 0 89,40 112,30 121,60 192,20 425,50 0,75 1 0
24 0 123,90 301,00 389,30 441,00 676,30 0,75 1 0
