"","x","ID","Perfil","Altura","Lado","Painel","Quadrante","Valor"
"M0",0,1,1,1.75,0,2,1,0
"M1",10,2,1,1.75,0,2,1,83.5
"M2",15,3,1,1.75,0,2,1,137
"M3",20,4,1,1.75,0,2,1,203.1
"M4",25,5,1,1.75,0,2,1,468.4
"M5",30,6,1,1.75,0,2,1,495.5
"M0.1",0,1,2,1.75,0,2,2,0
"M1.1",10,2,2,1.75,0,2,2,115.9
"M2.1",15,3,2,1.75,0,2,2,174.7
"M3.1",20,4,2,1.75,0,2,2,295.3
"M4.1",25,5,2,1.75,0,2,2,401.5
"M5.1",30,6,2,1.75,0,2,2,373.4
"M0.2",0,1,3,1.75,0,2,3,0
"M1.2",10,2,3,1.75,0,2,3,71.3
"M2.2",15,3,3,1.75,0,2,3,97.9
"M3.2",20,4,3,1.75,0,2,3,152.3
"M4.2",25,5,3,1.75,0,2,3,228.7
"M5.2",30,6,3,1.75,0,2,3,342.3
"M0.3",0,1,4,1.75,0,2,4,0
"M1.3",10,2,4,1.75,0,2,4,104.6
"M2.3",15,3,4,1.75,0,2,4,158.2
"M3.3",20,4,4,1.75,0,2,4,194.6
"M4.3",25,5,4,1.75,0,2,4,272.7
"M5.3",30,6,4,1.75,0,2,4,309.4
"M0.4",0,1,5,1.75,0,2,5,0
"M1.4",10,2,5,1.75,0,2,5,83.1
"M2.4",15,3,5,1.75,0,2,5,119.1
"M3.4",20,4,5,1.75,0,2,5,253.7
"M4.4",25,5,5,1.75,0,2,5,226.7
"M5.4",30,6,5,1.75,0,2,5,294.5
"M0.5",0,1,6,1.25,0,2,6,0
"M1.5",10,2,6,1.25,0,2,6,145.3
"M2.5",15,3,6,1.25,0,2,6,214.5
"M3.5",20,4,6,1.25,0,2,6,331.3
"M4.5",25,5,6,1.25,0,2,6,476.8
"M5.5",30,6,6,1.25,0,2,6,725.4
"M0.6",0,1,7,1.25,0,2,7,0
"M1.6",10,2,7,1.25,0,2,7,94.2
"M2.6",15,3,7,1.25,0,2,7,141.9
"M3.6",20,4,7,1.25,0,2,7,253.3
"M4.6",25,5,7,1.25,0,2,7,361.1
"M5.6",30,6,7,1.25,0,2,7,424.4
"M0.7",0,1,8,1.25,0,2,8,0
"M1.7",10,2,8,1.25,0,2,8,87.6
"M2.7",15,3,8,1.25,0,2,8,136.8
"M3.7",20,4,8,1.25,0,2,8,237.9
"M4.7",25,5,8,1.25,0,2,8,271.3
"M5.7",30,6,8,1.25,0,2,8,437.9
"M0.8",0,1,9,1.25,0,2,9,0
"M1.8",10,2,9,1.25,0,2,9,75.8
"M2.8",15,3,9,1.25,0,2,9,86.6
"M3.8",20,4,9,1.25,0,2,9,186.7
"M4.8",25,5,9,1.25,0,2,9,286.1
"M5.8",30,6,9,1.25,0,2,9,376.4
"M0.9",0,1,10,1.25,0,2,10,0
"M1.9",10,2,10,1.25,0,2,10,99.6
"M2.9",15,3,10,1.25,0,2,10,158.5
"M3.9",20,4,10,1.25,0,2,10,273.9
"M4.9",25,5,10,1.25,0,2,10,423.9
"M5.9",30,6,10,1.25,0,2,10,567.7
"M0.10",0,1,11,0.75,0,2,11,0
"M1.10",10,2,11,0.75,0,2,11,95.2
"M2.10",15,3,11,0.75,0,2,11,136.5
"M3.10",20,4,11,0.75,0,2,11,211.1
"M4.10",25,5,11,0.75,0,2,11,283.7
"M5.10",30,6,11,0.75,0,2,11,389.2
"M0.11",0,1,12,0.75,0,2,12,0
"M1.11",10,2,12,0.75,0,2,12,77.4
"M2.11",15,3,12,0.75,0,2,12,120.2
"M3.11",20,4,12,0.75,0,2,12,226.8
"M4.11",25,5,12,0.75,0,2,12,306.7
"M5.11",30,6,12,0.75,0,2,12,487.4
"M0.12",0,1,13,0.75,0,2,13,0
"M1.12",10,2,13,0.75,0,2,13,70.3
"M2.12",15,3,13,0.75,0,2,13,117.4
"M3.12",20,4,13,0.75,0,2,13,168.3
"M4.12",25,5,13,0.75,0,2,13,212.6
"M5.12",30,6,13,0.75,0,2,13,353.3
"M0.13",0,1,14,0.75,0,2,14,0
"M1.13",10,2,14,0.75,0,2,14,93.7
"M2.13",15,3,14,0.75,0,2,14,135.2
"M3.13",20,4,14,0.75,0,2,14,267.2
"M4.13",25,5,14,0.75,0,2,14,303.8
"M5.13",30,6,14,0.75,0,2,14,424.3
"M0.14",0,1,15,0.75,0,2,15,0
"M1.14",10,2,15,0.75,0,2,15,91.9
"M2.14",15,3,15,0.75,0,2,15,164.6
"M3.14",20,4,15,0.75,0,2,15,212.2
"M4.14",25,5,15,0.75,0,2,15,239.8
